Casing_pressure,Tubing_pressure,Gas_production,Water_production,Water_gas_ratio,PI
4.13,3.2,2.0708,2,0.97,0
4.12,3.2,2,2,1,0
4.11,3.15,2,2,1,0
4.11,3.16,1.6265,2,1.23,0
4.09,3.13,1.5881,1,0.63,0
4.08,3.1,1.8,2,1.11,0
4.06,3.05,1.4661,2,1.36,0
4.05,3.02,2.1461,2,0.93,0
4.04,2.98,1.4661,2,1.36,0
4.04,3,1.4661,2,1.36,0
4.03,2.97,1.4661,2,1.36,0
4,2.92,1.4661,2,1.36,0
3.99,2.91,1.6,2,1.25,0
3.99,2.92,1.4661,2,1.36,0
3.97,2.89,1.86,2,1.08,0
3.95,2.86,1.947,2,1.03,0
3.94,2.85,2.1,2,0.95,0
3.93,2.83,2.3619,2,0.85,0
3.93,2.84,2.3436,2,0.85,0
3.92,2.81,1.48,2,1.35,0
3.91,2.81,2.3436,3,1.28,0
3.9,2.81,2.3436,3,1.28,0
3.89,2.79,1.7562,2,1.14,0
3.9,2.81,1.775,2,0.85,0
3.89,2.79,1.3793,2,1.09,0
3.88,2.8,1.0657,2,1.41,0
3.88,2.78,2.3626,2,0.63,0
3.87,2.77,1.9131,2,0.78,0
3.87,2.74,1.7516,2,0.86,0
3.87,2.8,2.0839,2,0.72,0
3.87,2.77,2.8557,2,0.53,0
3.86,2.79,2.0221,2,0.74,0
3.87,2.78,1.603,2,0.94,0
3.86,2.75,1.5675,2,0.96,0
3.86,2.79,1.4144,2,1.06,0
3.85,2.76,2.352,2,0.64,0
3.85,2.77,1.3311,2,1.13,0
3.84,2.74,1.445,2,1.04,0
3.84,2.76,1.463,2,1.03,0
3.84,2.77,1.8777,2,0.8,0
3.84,2.77,1.8979,2,0.79,0
3.84,2.78,1.2744,2,1.18,0
3.83,2.74,1.5358,2,0.98,0
3.83,2.74,1.5066,2,1,0
4.11,2.75,1.6535,2,0.91,0
3.81,2.73,1.6065,2,0.93,0
3.65,2.3,1.0106,2,1.48,0
3.71,2.31,2.3405,2,0.64,0
3.9,3.13,1.8609,2,0.81,0
3.93,3.07,1.5981,2,0.94,0
3.93,3.02,1.5614,2,0.96,0
3.93,3,1.6677,2,0.9,0
3.9,2.96,1.8114,2,0.83,0
3.9,2.97,1.89,2,1.06,0
3.98,3.18,2.5137,2,0.8,0
3.98,3.15,2.41,2,0.83,0
3.98,3.15,2.39,2,0.84,0
3.96,3.07,3.51,2,0.57,0
4,3.13,1.4825,2,1.35,0
3.96,3.04,2.4,2,0.83,0
3.92,2.96,2.2,2,0.91,0
3.91,2.94,2,2,1,0
3.89,2.91,2.237,2,0.89,0
3.88,2.86,2.6,2,0.77,0
3.89,2.87,1.6,2,1.25,0
4.4,4.42,0.24,0,0,0
4.15,2.97,1.57,1,0.64,0
3.93,2.7,1.5,1,0.67,0
3.95,2.99,1.7,2,1.18,0
3.94,2.92,1.1,2,1.82,0
3.91,2.85,2.1,2,0.95,0
3.91,2.87,2,2,1,0
3.91,2.87,1.35,2,1.48,0
3.9,2.85,1.6,2,1.25,0
3.87,2.8,1.5001,1,0.67,0
3.86,2.79,2.228,1,0.45,0
3.84,2.75,1.7,1,0.59,0
3.87,3.86,1.6,1,0.63,2
4.06,2.98,2.1,2,0.95,0
3.99,2.89,1.76,2,1.14,0
3.95,2.84,1.6,1,0.63,0
3.92,2.83,1.62,2,1.23,0
3.89,2.79,2,2,1,0
3.87,2.75,1.9549,2,1.02,0
4,2.86,1.7525,2,1.14,0
3.87,2.78,2.0615,2,0.97,0
3.87,2.81,1.8519,2,1.08,0
3.86,2.79,2.0594,2,0.97,0
3.84,2.76,1.9098,2,1.05,0
6.1,5.02,5.8,6,1.03,0
6.03,4.97,6.12,4,0.65,0
6.09,5.26,5.67,5,0.88,0
6.09,5.16,5.73,5,0.87,0
6.1,5.09,6.4,4,0.62,0
6.08,5.11,6.1,3,0.49,0
6.11,5.19,5.91,3,0.51,0
6.08,5.14,6.9,3,0.43,0
6.1,5.23,5.9,4,0.68,0
6.12,5.26,6.03,5,0.83,0
6.18,5.43,5.83,4,0.69,0
6.2,5.43,4.75,5,1.05,0
6.2,5.38,5.71,5,0.88,0
6.15,5.21,5.63,5,0.89,0
6.06,5.11,5.7,5,0.88,0
6.04,5.07,5.3,4,0.75,0
6.19,5.43,6.4,6,0.94,0
6.2,5.36,6.4,5,0.78,0
6.14,5.38,5.7,6,1.05,0
6.15,5.38,6.7,6,0.9,0
6.16,5.37,6.4,6,0.94,0
6.1,5.26,6.8,6,0.88,0
6.11,5.29,6.3,5,0.79,3
6.46,5.45,6.2,5,0.81,0
6.21,5.15,6.1,5,0.82,0
6.12,5.11,5.5,4,0.73,0
6.13,5.17,5.8,5,0.86,0
6.16,5.36,5.75,5,0.87,0
6.07,5.1,8.9,6,0.67,0
6.11,5.26,7.1,3,0.42,0
6.12,5.27,5,5,1,0
6.1,5.23,6,4,0.67,0
6.34,5.24,6.5,5,0.77,0
6.17,5.48,6.8,4,0.59,0
6.13,5.43,7.8,5,0.64,0
6.09,3.82,8.83,5,0.57,0
5.8,4.05,6.8,5,0.74,0
5.75,4.11,6.76,2,0.3,0
5.74,4.43,6.8,4,0.59,0
5.7,4.45,7.5,4,0.53,0
5.69,4.71,6.5,4,0.62,0
5.7,4.77,6.71,2,0.3,0
5.71,4.71,10.01,3,0.3,0
5.75,4.95,7.81,3,0.38,0
6,5.43,7.65,3,0.39,0
6.08,5.53,6.41,3,0.47,0
6.2,5.59,5.9,4,0.68,0
6.64,5.51,6.89,6,0.87,0
6.95,5.74,6.2,5,0.81,0
7.15,5.45,6.1,5,0.82,0
6.24,5.46,7.77,6,0.77,0
6.2,5.56,7.46,5,0.67,0
6.19,5.56,6.63,2,0.3,0
6.19,5.54,6.26,2,0.32,0
6.41,5.71,6.36,6,0.94,0
6.31,5.67,6.26,6,0.96,0
6.89,5.57,5,5,1,0
7.3,5.19,4.92,3,0.61,0
6.29,5.23,7.67,6,0.78,0
6.13,5.54,7.68,6,0.78,0
6.15,5.52,5.21,3,0.58,0
6.16,3.78,6.32,3,0.47,0
6.13,5.31,6.84,3,0.44,0
6.12,5.3,7.18,7,0.97,0
6.09,5.27,6.8,4,0.59,0
5.6,5.2,7.25,2,0.28,0
6.01,5.14,5.96,6,1.01,0
5.37,5.3,6.22,5,0.8,0
6.02,5.47,5.7,5,0.88,0
5.79,5.37,8.1,6,0.74,0
6.01,5.34,6.6,6,0.91,0
6.01,5.42,5.72,5,0.87,0
6.03,5.41,5.99,6,1,0
6.13,5.55,5.66,6,1.06,0
6.15,5.55,6.01,4,0.67,0
6.2,5.64,4.41,5,1.13,0
6.59,5.44,3.99,5,1.25,0
5.77,5.26,4.33,4,0.92,0
5.78,4.94,2.65,2,0.76,0
6.31,5.35,5.75,5,0.87,0
6.44,5.31,5.76,5,0.87,0
5.08,5.58,4.63,4,0.86,0
5.08,5.6,4.97,3,0.6,0
5.08,5.6,5.88,5,0.85,0
6.84,5.21,3.26,3,0.92,0
5.72,5.37,4.9,5,1.02,0
5.96,5.61,5.02,6,1.19,0
5.83,5.57,5.01,5,1,0
4.16,5.46,4.76,3,0.63,0
6.02,5.41,5.47,3,0.55,0
5.97,5.35,3.68,4,1.09,0
5.27,4.23,5.8,3,0.52,0
4.76,5.32,6.8,4,0.59,0
3.33,5.24,5.55,5,0.9,0
5.14,5.19,6.55,5,0.76,0
5.38,5.27,5.39,3,0.56,0
5.58,5.14,6.94,4,0.58,0
5.46,5.05,6.82,4,0.59,0
5.85,5,7.62,5,0.66,0
5.93,5.28,9.28,5,0.54,0
6.03,5.45,6.76,5,0.74,0
6,5.35,6.65,6,0.9,0
5.98,5.32,6.86,6,0.87,0
5.93,5.23,6.96,4,0.58,0
5.19,5.13,7.08,7,0.99,0
4.29,4.96,7.37,7,0.95,0
5.73,4.9,7.43,4,0.54,0
5.73,4.99,6.42,4,0.62,0
5.78,5.16,5.05,3,0.59,0
5.81,5.16,6.14,3,0.49,0
5.83,5.2,6.12,5,0.82,0
5.86,5.25,5.86,4,0.68,0
5.85,5.24,6.01,5,0.83,0
5.79,5.12,6.53,4,0.61,0
5.76,5.07,6.57,4,0.61,0
5.77,5.12,6.56,3,0.46,0
5.73,5.05,5.52,4,0.72,0
5.68,4.93,6.65,4,0.6,0
5.6,4.77,6.17,5,0.81,0
5.56,4.74,7.11,6,0.84,0
5.54,4.7,7,4,0.57,0
5.51,4.74,7.47,6,0.8,0
5.54,4.82,7.02,6,0.86,0
5.55,4.85,6.03,5,0.83,0
5.59,4.94,5.42,5,0.92,0
5.62,5.04,5.21,5,0.96,0
5.73,5.08,5.1,4,0.78,0
5.61,4.99,4.54,4,0.88,0
5.64,5.03,4.34,3,0.69,0
5.58,4.91,3.1,3,0.97,0
5.53,4.81,5.98,3,0.5,0
5.54,4.88,4.53,3,0.66,0
5.47,4.6,5.2,4,0.77,0
5.39,4.57,5.93,4,0.68,0
5.41,4.65,4.94,2,0.41,0
5.41,4.72,4.58,3,0.66,0
5.4,4.67,5.71,3,0.53,0
5.43,4.66,5.06,4,0.79,0
5.35,4.62,7.24,5,0.69,1
5.66,5.09,3.33,5,1.5,0
5.68,5.17,3.2,6,1.87,0
5.71,5.19,3,6,2,0
6.09,5.17,3.63,3,0.83,0
6.37,5.15,2.3,2,0.87,0
6.58,5.14,2,2,1,0
6.75,5.23,2.36,2,0.85,0
5.97,5.41,4.83,6,1.24,0
5.89,5.3,3.76,3,0.8,0
5.79,5.13,6.36,3,0.47,0
5.71,5.05,6.26,3,0.48,0
5.65,4.99,4.58,3,0.66,0
5.65,4.96,4.71,3,0.64,0
5.61,5,5.53,3,0.54,0
5.65,5.11,4.52,3,0.66,0
5.65,5.07,3.47,2,0.58,0
5.45,4.58,4.43,4,0.9,0
5.37,4.52,4.61,4,0.87,0
5.4,4.91,5.63,5,0.89,0
5.49,5.07,4.22,4,0.95,0
5.51,5.09,5.8,6,1.03,0
5.54,5.14,5.65,6,1.06,0
5.43,4.52,5.14,5,0.97,1
5.53,5.68,6.63,7,1.06,0
5.55,4.85,7.04,7,0.99,0
5.42,4.71,5.29,6,1.13,0
5.41,4.74,5.84,4,0.68,0
5.09,3.83,6.07,6,0.99,0
4.98,3.77,6.35,6,0.94,0
5,3.91,6.22,6,0.96,0
4.97,3.82,5.93,6,1.01,0
4.9,3.79,5.83,6,1.03,0
4.86,3.78,5.44,4,0.74,0
4.82,3.77,5.4,5,0.93,0
4.79,3.73,6.43,4,0.62,0
4.76,3.73,6.6,6,0.91,0
4.74,3.7,6.91,6,0.87,0
4.72,3.66,6.54,5,0.76,0
4.7,3.65,7.05,6,0.85,0
4.66,3.6,6.04,5,0.83,0
4.63,3.55,6.32,5,0.79,0
4.61,3.54,6.23,5,0.8,0
4.62,3.56,6.32,6,0.95,0
4.85,4.25,5.7,5,0.88,0
4.91,4.31,5.66,5,0.88,0
4.96,4.43,5.23,4,0.76,0
4.86,3.63,5.3,4,0.76,0
5.01,4.46,6.52,5,0.77,0
5.04,4.6,4.09,5,1.22,0
5.34,4.65,5.92,4,0.68,0
5.7,4.53,5.08,3,0.59,0
5.89,4.69,4.2,3,0.71,0
6.01,4.71,3.1,2,0.64,0
6.16,4.57,1.51,1,0.66,0
5.01,3.38,3.86,3,0.78,0
4.78,3.23,5.27,3,0.57,0
4.66,3.21,3.05,2,0.66,0
4.57,3.11,4.02,3,0.75,0
4.49,3.06,3.2,3,0.94,0
4.8,4.75,6.24,5,0.8,0
4.53,3.09,3.2,4,1.25,0
4.38,3.06,4.28,3,0.7,0
4.38,3.04,4.68,3,0.64,0
4.79,4.74,4.2,2,0.48,0
4.4,3.03,4.42,3,0.68,0
4.41,3.01,5.26,3,0.57,0
4.31,2.96,5.25,3,0.57,0
4.45,3.54,6.2,4,0.64,0
4.42,3.42,4.2,3,0.71,0
4.4,3.42,5.15,3,0.58,0
4.38,3.38,5.23,3,0.57,0
4.08,3.18,4.84,3,0.62,0
4.35,3.33,5.04,3,0.6,0
4.33,3.34,5.13,3,0.59,0
4.32,3.33,5.65,3,0.53,0
4.3,3.31,6.03,4,0.66,0
4.28,3.29,5.25,3,0.57,0
4.24,3.19,4.73,4,0.85,0
4.22,3.16,4.96,5,1.01,0
4.23,3.28,5.07,5,0.99,0
4.23,3.27,5,5,1,0
4.23,3.26,5.07,7,1.38,0
4.21,3.25,5.07,6,1.18,0
4.2,3.24,5,5,1,0
4.18,3.22,4.8,5,1.04,0
4.17,3.23,4.82,5,1.04,0
4.18,3.24,4.72,5,1.06,0
4.17,3.24,4.81,5,1.04,0
4.3,3.22,4.68,5,1.07,0
4.15,3.19,4.96,5,1.01,0
4.13,3.18,4.89,5,1.02,0
4.68,4.17,4.45,5,1.12,0
4.23,3.25,4.31,5,1.16,0
4.21,3.27,4.45,5,1.12,0
4.16,3.24,4.87,5,1.03,0
4.27,3.29,4.11,4,0.97,0
4.16,3.22,4.8,5,1.04,0
4.13,3.21,4.82,5,1.04,0
4.1,3.16,4.87,5,1.03,0
4.09,3.15,4.42,4,0.91,0
4.08,3.13,5.42,5,0.92,0
4.07,3.16,4.99,5,1,0
4.06,3.14,4.74,5,1.05,0
4.06,3.17,4.71,5,1.06,0
4.06,3.17,2.96,3,1.01,0
4.7,4.59,2.25,2,0.89,0
4.14,3.23,3.73,3,0.8,0
4.06,3.15,5.87,5,0.85,0
4.05,3.12,5.43,5,0.92,0
4.03,3.12,5.31,5,0.94,0
4.01,3.11,3.58,2,0.56,0
4.02,3.11,4.81,2,0.42,0
4.54,4.26,3.31,2,0.6,0
4.1,3.15,4.22,2,0.47,0
4.1,3.15,4.26,4,0.94,0
4,3.13,4.14,4,0.97,0
4.1,3.15,4.09,3,0.73,0
4.1,3.15,3.36,3,0.89,0
4.05,3.11,3.42,2,0.59,0
4.1,3.15,4.32,2,0.46,0
4.1,3.15,3.37,3,0.89,0
4.07,3.14,4.52,3,0.66,0
4.06,3.16,3.9,2,0.51,0
4.09,2.96,3.66,2,0.55,0
4.01,3.11,4.18,2,0.48,0
3.96,3.08,4.7,2,0.43,0
4.16,3.21,3.42,2,0.58,0
3.97,3.07,4.5,2,0.44,0
3.94,3.04,3.9,2,0.51,0
3.91,3.06,4.01,3,0.75,0
3.91,3.05,3.01,3,1,0
3.99,3.09,3.02,3,0.99,0
3.93,3.04,5.1,2,0.39,0
4.19,3.16,3.02,2,0.66,0
3.95,3.04,5.02,3,0.6,0
3.91,3,5.26,3,0.57,0
3.89,2.96,3.51,3,0.85,0
3.86,2.93,3.46,2,0.58,0
4.13,3.12,3.26,3,0.92,0
3.86,2.91,4.1,4,0.98,0
3.82,2.91,4.68,6,1.28,0
3.81,2.9,4.21,4,0.95,0
3.8,2.91,3.81,3,0.79,0
3.79,2.91,4.06,4,0.99,0
3.78,2.91,4.1,4,0.98,0
3.78,2.9,4.72,4,0.85,0
3.76,2.87,4.47,4,0.89,0
3.75,2.86,4.5,4,0.89,0
3.73,2.86,4.5,5,1.11,0
3.73,2.86,4.2,4,0.95,0
3.72,2.86,4.36,4,0.92,0
3.71,2.84,4.72,4,0.85,0
3.7,2.83,5.15,4,0.78,0
3.74,2.82,4.06,4,0.99,0
3.69,2.82,4.6,5,1.09,0
3.68,2.79,4.66,5,1.07,0
3.67,2.79,5.21,4,0.77,0
3.66,2.8,4.96,5,1.01,0
3.65,2.79,4.53,4,0.88,0
3.64,2.79,4.35,4,0.92,0
3.62,2.74,4.71,4,0.85,0
3.6,2.71,5.2,4,0.77,0
3.59,2.68,4.16,4,0.96,0
3.57,2.66,4.57,4,0.88,0
3.56,2.67,4.56,5,1.1,0
3.54,2.62,4.48,5,1.12,0
3.52,2.59,4.73,5,1.06,0
3.51,2.58,4.57,4,0.88,0
3.51,2.61,4.33,5,1.16,0
3.52,2.66,4.52,4,0.89,0
3.52,2.69,4.86,3,0.62,0
3.54,2.72,4.19,3,0.72,0
3.53,2.72,4.49,3,0.67,0
3.58,2.69,4.03,3,0.74,0
3.52,2.68,3.7,3,0.81,0
3.5,2.66,4.5,4,0.89,0
3.49,2.65,4.2,3,0.71,0
3.53,2.74,4.03,3,0.74,0
3.53,2.76,4.01,3,0.75,0
3.52,2.69,3.2,3,0.94,0
3.52,2.74,4,4,1,0
3.52,2.74,3.84,3,0.78,0
3.5,2.68,4,2,0.5,0
3.51,2.71,3.25,2,0.62,0
3.47,2.6,4.1,3,0.73,0
3.46,2.63,4.21,3,0.71,0
3.46,2.65,4.4,3,0.68,0
3.45,2.64,5,3,0.6,0
3.44,2.61,3.44,3,0.87,0
3.43,2.59,4.08,3,0.73,0
3.42,2.56,4.2,3,0.71,0
3.41,2.58,4.2,3,0.71,0
3.4,2.57,4.2,3,0.71,0
3.39,2.55,4.02,3,0.75,0
3.38,2.53,4.31,3,0.7,0
3.38,2.55,4.3,3,0.7,0
3.37,2.55,4.93,2,0.41,0
3.36,2.53,5.1,2,0.39,0
3.37,2.56,3.5,2,0.57,0
4.22,4.24,0.6,0,0,0
3.53,2.71,4.4,5,1.14,0
3.58,2.71,3.11,3,0.96,0
3.56,2.67,3.65,4,1.1,0
3.49,2.61,4.62,5,1.08,0
3.45,2.6,4.3,4,0.93,0
3.42,2.6,4.45,4,0.9,0
3.41,2.58,4.1,4,0.98,0
3.4,2.56,4.11,4,0.97,0
3.38,2.57,4.23,4,0.95,0
3.36,2.54,4.31,4,0.93,0
3.36,2.55,4.25,4,0.94,0
3.37,2.53,3.85,4,1.04,0
3.37,2.53,4.12,4,0.97,0
3.35,2.52,4,4,1,0
3.34,2.55,4.07,4,0.98,0
3.34,2.54,4.07,4,0.98,0
3.36,2.57,3.97,4,1.01,0
3.34,2.56,4.01,4,1,0
3.34,2.56,4.1,4,0.98,0
3.33,2.56,4.01,4,1,0
3.35,2.62,4.99,4,0.8,0
3.35,2.62,4.78,4,0.84,0
3.34,2.55,4.54,3,0.66,0
3.33,2.56,4.83,4,0.83,0
3.32,2.55,4.88,4,0.82,0
3.32,2.57,4.87,4,0.82,0
3.32,2.56,4.8,4,0.83,0
3.31,2.6,3.8,4,1.05,0
3.31,2.56,4.51,4,0.89,0
3.24,2.39,4.34,4,0.92,0
3.24,2.41,3.52,4,1.14,0
3.29,2.41,4,2,0.5,0
3.22,2.44,4,2,0.5,0
3.26,2.54,4.12,4,0.97,0
3.28,2.59,4.71,3,0.64,0
3.28,2.6,3.71,3,0.81,0
3.6,3.67,4.33,3,0.69,0
3.31,2.6,3.25,3,0.92,0
3.29,2.6,3.61,4,1.11,0
3.29,2.6,4.2,4,0.95,0
3.29,2.59,3.3,4,1.21,0
3.28,2.57,3.42,3,0.88,0
3.27,2.57,3.21,3,0.93,0
3.26,2.55,3.7,3,0.81,0
3.25,2.53,3.55,3,0.85,0
3.25,2.52,3.19,3,0.94,0
3.26,2.54,4.2,2,0.48,0
3.33,2.59,4.21,2,0.48,0
3.23,2.52,3.68,2,0.54,0
3.24,2.54,3.67,2,0.55,0
3.22,2.52,3.82,2,0.52,0
3.22,2.48,3.59,2,0.56,0
3.21,2.49,3.63,3,0.83,0
3.21,2.47,3.43,3,0.88,0
3.2,2.5,3.61,3,0.83,0
3.19,2.49,3.53,3,0.85,0
3.19,2.46,4.11,4,0.97,0
3.2,2.54,3.1,4,1.29,0
3.2,2.54,4.2,4,0.95,0
3.2,2.52,4.53,4,0.88,0
3.2,2.53,3.44,4,1.16,0
3.21,2.54,3.21,3,0.93,0
3.21,2.51,3.41,3,0.88,0
3.2,2.51,3.41,3,0.88,0
3.19,2.52,4.52,4,0.88,0
3.19,2.51,4.68,4,0.86,0
3.18,2.5,3.67,4,1.09,0
3.19,2.54,4.57,4,0.87,0
3.23,2.56,3.37,3,0.89,0
3.2,2.53,3.27,3,0.92,0
3.19,2.54,3.21,3,0.93,0
3.19,2.54,3.4,3,0.88,0
3.21,2.55,3.15,3,0.95,0
3.19,2.51,3.57,4,1.12,3
3.25,2.47,4.34,3,0.69,0
3.13,2.44,4.24,3,0.71,0
3.59,3.56,4.35,4,0.92,0
3.28,2.41,2.77,2,0.72,0
3.19,2.36,3.81,3,0.79,0
3.14,2.31,2.91,3,1.03,0
3.11,2.22,3.68,4,1.09,0
3.07,2.23,3.84,2,0.52,0
3.05,2.2,3.8,2,0.53,0
3.04,2.24,3.8,2,0.53,0
3.03,2.25,3.97,3,0.76,0
3.01,2.2,2.72,2,0.74,0
3.02,2.2,3.08,3,0.97,0
3.01,2.21,3.25,3,0.92,0
3,2.21,3.92,3,0.76,0
3,2.22,3.5,2,0.57,0
2.98,2.22,3.51,2,0.57,0
2.98,2.18,3.92,2,0.51,0
2.96,2.21,4.78,2,0.42,0
2.96,2.15,4.5,3,0.67,0
2.95,2.2,4.57,3,0.66,0
2.95,2.14,3.7,3,0.81,0
2.94,2.17,4.56,4,0.88,0
2.93,2.14,3.4,3,0.88,0
2.93,2.18,3.31,3,0.91,0
2.93,2.19,2.98,2,0.67,0
2.92,2.14,3.52,3,0.85,0
3.15,2.6,3.04,2,0.66,0
3.51,2.49,3.75,2,0.53,0
3.68,2.48,3.1,2,0.65,0
3.81,2.23,3.1,2,0.65,0
3.93,2.2,2.86,3,1.05,0
4.04,2.17,3.58,2,0.56,0
4.14,2.26,3.5,2,0.57,0
4.23,2.3,2.98,1,0.34,0
4.32,2.28,3.9,2,0.51,0
4.38,2.24,3.01,2,0.66,0
4.45,2.25,1.3,2,1.54,0
4.52,2.27,2.3,2,0.87,0
4.58,2.28,2.48,2,0.81,0
4.64,2.23,2.21,1,0.45,0
4.7,2.13,2.15,1,0.47,10
4.15,2.74,3.9302,2,0.51,0
3.85,2.54,4.882,2,0.41,0
3.85,2.49,2.1,2,0.95,0
4.46,3.2,2.3872,2,0.84,0
3.77,3.07,2.1,2,0.95,0
3.81,3.21,4.0945,3,0.73,0
4.05,3.04,3.9547,3,0.76,0
4.06,3.04,3.5,3,0.86,0
4.06,3,3,2,0.67,0
4.07,2.98,2.3,2,0.87,0
4.1,3.13,2.64,2,0.76,0
4.12,3.17,3.328,3,0.9,0
4.13,3.05,3.9258,3,0.76,0
4.1,2.91,2.6,2,0.77,0
4.04,2.94,2.3,2,0.87,0
4.07,2.92,2.5,2,0.8,0
4.1,3.03,3.2,2,0.63,0
4.08,2.92,3.1,2,0.65,0
4.04,2.9,3.3,2,0.61,0
4.02,2.93,2.5,2,0.8,0
4.01,2.88,3.29,2,0.61,0
4,2.85,3.298,2,0.61,0
3.97,2.85,2.05,2,0.98,0
3.95,2.84,2.1492,2,0.93,0
3.99,2.84,2.5005,3,1.2,0
3.96,2.82,2.1,2,0.95,0
3.96,2.83,3.98,2,0.5,0
3.97,2.86,2.56,2,0.78,0
3.96,2.82,3.121,3,0.96,0
4.03,2.92,2.5897,2,0.77,0
3.98,2.84,2.5,2,0.8,0
3.97,2.84,2.9269,2,0.68,0
3.96,2.81,2.8732,2,0.7,0
3.9,2.8,2.6977,2,0.78,0
4.01,2.98,2.7437,2,0.69,0
4.01,3,2.7745,2,0.61,0
4,2.97,2.7844,2,0.54,0
4.01,2.95,2.7867,1,0.5,0
4.02,2.94,1.7628,1,0.74,0
4.01,2.93,2.7765,1,0.5,0
4.03,3.08,2.7616,2,0.54,0
4.1,3.21,2.3851,2,0.67,0
4.12,3.21,3.373,1,0.42,0
4.14,3.25,2.4848,2,0.6,0
4.17,3.3,2.4323,2,0.62,0
4.18,3.27,2.522,1,0.56,0
4.18,3.27,1.7086,2,0.88,0
4.18,3.25,2.5675,1,0.55,0
4.17,3.22,2.6292,2,0.57,0
4.19,3.22,1.6026,1,0.87,0
4.27,3.35,2.5353,2,0.63,0
4.2,3.24,2.6206,2,0.57,0
4.2,3.24,2.14,3,1.4,0
4.5,4.53,1.4305,2,1.4,0
4.61,3.07,1.4,2,1.43,0
4.31,3.29,2.7,2,0.74,0
4.61,4.56,1.1,2,1.82,0
4.72,3.24,1,1,1,0
4.47,3.39,2,1,0.5,0
4.49,3.37,2.2,2,0.91,0
4.48,3.36,2.15,2,0.93,0
4.32,3.3,2.34,2,0.85,0
4.3,3.28,2.4,1,0.42,0
4.29,3.3,2.34,2,0.85,0
4.31,3.35,2.3,2,0.87,0
4.27,3.28,2.5,2,0.8,0
4.31,3.35,2.03,2,0.99,0
4.27,3.09,2.4,2,0.83,0
4.27,3.31,2.2,2,0.91,0
4.26,3.28,2.0216,2,0.99,0
4.24,3.27,2.747,2,0.73,0
4.24,3.28,2.2,2,0.91,0
4.23,3.25,3.19,2,0.63,0
4.23,3.25,2.547,2,0.79,0
4.21,3.19,2.24,2,0.89,0
4.19,3.17,3.03,2,0.66,0
4.17,3.12,2.97,2,0.67,0
4.16,3.11,2.3308,3,1.29,0
4.15,3.1,3.2,2,0.63,0
4.13,3.1,2.7,2,0.74,0
4.12,3.08,2.3,2,0.87,0
4.11,3.04,2.26,2,0.88,0
4.14,3.06,2.0129,2,0.75,0
4.13,3.08,2.8261,2,0.53,0
4.12,3.06,2.2787,1,0.61,0
4.11,3.06,2.3407,1,0.6,0
4.11,3.04,2.3635,2,0.63,0
4.1,3.02,2.8779,1,0.49,0
4.09,3.02,2.3816,2,0.63,0
4.09,3.01,2.3613,2,0.64,0
4.08,3,2.3769,1,0.59,0
4.07,2.99,3.3576,2,0.45,0
4.06,2.99,2.39,2,0.63,0
4.06,2.98,2.3858,2,0.63,0
4.05,2.97,2.3695,2,0.63,0
4.04,2.93,2.3913,2,0.63,0
4.03,2.94,2.41,2,0.62,0
4.02,2.95,2.3396,2,0.64,0
4.02,2.93,2.2959,2,0.65,0
4.02,2.93,2.6694,2,0.56,0
4.01,2.91,2.2599,2,0.66,0
4.01,2.92,2.2353,2,0.67,0
4.02,2.94,2.2553,2,0.67,0
4.02,2.96,2.2769,2,0.66,0
4.01,2.92,2.3166,2,0.65,0
4.01,2.97,2.3067,2,0.65,0
4.01,2.96,2.2884,2,0.66,0
4,2.94,2.2821,2,0.66,0
4,2.96,2.2795,2,0.66,0
3.91,2.77,1.9664,2,0.76,0
4,3.02,2.0873,2,0.72,0
3.99,2.9,2.359,2,0.64,0
4.07,3.27,2.0884,2,0.81,0
4.05,3.11,2.2052,2,0.91,0
4.05,3.1,2.39,2,0.84,0
4.04,3.02,2.5399,2,0.79,0
4.03,3.04,2.526,2,0.79,0
4.02,3.02,2.79,3,1.08,0
4.13,3.29,2.7737,3,1.08,0
4.13,3.23,1.97,2,1.02,0
4.14,3.22,2.5932,2,0.77,0
4.13,3.2,2.0708,2,0.97,0
4.12,3.2,2,2,1,0
4.11,3.15,2,2,1,0
4.11,3.16,1.6265,2,1.23,0
4.09,3.13,1.5881,1,0.63,0
4.08,3.1,1.8,2,1.11,0
4.06,3.05,1.4661,2,1.36,0
4.05,3.02,2.1461,2,0.93,0
4.04,2.98,1.4661,2,1.36,0
4.04,3,1.4661,2,1.36,0
4.03,2.97,1.4661,2,1.36,0
4,2.92,1.4661,2,1.36,0
3.99,2.91,1.6,2,1.25,0
3.99,2.92,1.4661,2,1.36,0
3.97,2.89,1.86,2,1.08,0
3.95,2.86,1.947,2,1.03,0
3.94,2.85,2.1,2,0.95,0
3.93,2.83,2.3619,2,0.85,0
3.93,2.84,2.3436,2,0.85,0
3.92,2.81,1.48,2,1.35,0
3.91,2.81,2.3436,3,1.28,0
3.9,2.81,2.3436,3,1.28,0
3.89,2.79,1.7562,2,1.14,0
3.9,2.81,1.775,2,0.85,0
3.89,2.79,1.3793,2,1.09,0
3.88,2.8,1.0657,2,1.41,0
3.88,2.78,2.3626,2,0.63,0
3.87,2.77,1.9131,2,0.78,0
3.87,2.74,1.7516,2,0.86,0
3.87,2.8,2.0839,2,0.72,0
3.87,2.77,2.8557,2,0.53,0
3.86,2.79,2.0221,2,0.74,0
3.87,2.78,1.603,2,0.94,0
